id	pop	sex	FatherId	MotherId	Sex	incomp	
644	3	1	515	511	1.000000	8.000000	
645	3	1	479	482	1.000000	8.000000	
648	3	1	479	520	1.000000	8.000000	
650	3	1	510	481	1.000000	5.000000	
651	3	1	494	481	1.000000	5.000000	
653	3	1	509	481	1.000000	8.000000	
658	3	1	492	476	1.000000	5.000000	
661	3	1	477	488	1.000000	8.000000	
663	3	1	499	526	1.000000	5.000000	
664	3	1	498	508	1.000000	5.000000	
665	3	1	484	508	1.000000	5.000000	
666	3	1	521	518	1.000000	5.000000	
668	3	1	491	518	1.000000	5.000000	
670	3	1	512	514	1.000000	8.000000	
672	3	1	509	524	1.000000	8.000000	
673	3	1	480	524	1.000000	8.000000	
676	3	1	491	516	1.000000	8.000000	
679	3	1	490	503	1.000000	8.000000	
680	3	1	477	525	1.000000	8.000000	
683	3	1	484	501	1.000000	8.000000	
684	3	1	498	501	1.000000	5.000000	
685	3	1	522	501	1.000000	8.000000	
688	3	1	512	523	1.000000	8.000000	
696	3	1	502	513	1.000000	5.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
646	3	0	496	497	0.000000	8.000000	
647	3	0	490	497	0.000000	8.000000	
649	3	0	510	481	0.000000	5.000000	
652	3	0	509	481	0.000000	8.000000	
654	3	0	477	495	0.000000	5.000000	
655	3	0	510	495	0.000000	5.000000	
656	3	0	486	495	0.000000	8.000000	
657	3	0	490	476	0.000000	8.000000	
659	3	0	509	519	0.000000	8.000000	
660	3	0	484	519	0.000000	8.000000	
662	3	0	500	488	0.000000	8.000000	
669	3	0	527	514	0.000000	5.000000	
671	3	0	512	506	0.000000	8.000000	
674	3	0	509	524	0.000000	8.000000	
675	3	0	528	524	0.000000	8.000000	
677	3	0	486	516	0.000000	5.000000	
681	3	0	487	483	0.000000	8.000000	
686	3	0	521	517	0.000000	5.000000	
687	3	0	490	517	0.000000	5.000000	
689	3	0	512	523	0.000000	8.000000	
690	3	0	522	523	0.000000	8.000000	
691	3	0	479	507	0.000000	5.000000	
692	3	0	527	507	0.000000	5.000000	
693	3	0	493	507	0.000000	5.000000	
694	3	0	493	507	0.000000	5.000000	
695	3	0	521	513	0.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
699	4	1	582	557	1.000000	8.000000	
702	4	1	539	561	1.000000	8.000000	
703	4	1	555	561	1.000000	2.000000	
705	4	1	545	544	1.000000	5.000000	
707	4	1	539	544	1.000000	5.000000	
708	4	1	572	531	1.000000	5.000000	
710	4	1	572	567	1.000000	8.000000	
715	4	1	587	548	1.000000	5.000000	
716	4	1	563	548	1.000000	8.000000	
717	4	1	555	540	1.000000	8.000000	
724	4	1	576	581	1.000000	8.000000	
725	4	1	533	581	1.000000	8.000000	
726	4	1	562	529	1.000000	8.000000	
729	4	1	569	529	1.000000	8.000000	
730	4	1	579	560	1.000000	8.000000	
732	4	1	569	560	1.000000	8.000000	
733	4	1	583	559	1.000000	5.000000	
738	4	1	535	554	1.000000	8.000000	
744	4	1	582	574	1.000000	8.000000	
745	4	1	563	574	1.000000	8.000000	
746	4	1	533	530	1.000000	8.000000	
748	4	1	563	530	1.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
697	4	0	535	557	0.000000	8.000000	
698	4	0	572	557	0.000000	8.000000	
700	4	0	576	557	0.000000	8.000000	
701	4	0	580	551	0.000000	5.000000	
704	4	0	549	561	0.000000	8.000000	
706	4	0	556	544	0.000000	8.000000	
713	4	0	583	548	0.000000	5.000000	
714	4	0	545	548	0.000000	8.000000	
718	4	0	533	540	0.000000	8.000000	
719	4	0	535	541	0.000000	8.000000	
720	4	0	546	541	0.000000	8.000000	
721	4	0	535	541	0.000000	5.000000	
722	4	0	546	547	0.000000	8.000000	
723	4	0	563	547	0.000000	5.000000	
727	4	0	535	529	0.000000	8.000000	
728	4	0	576	529	0.000000	8.000000	
734	4	0	569	559	0.000000	5.000000	
735	4	0	585	559	0.000000	5.000000	
736	4	0	533	554	0.000000	8.000000	
737	4	0	585	554	0.000000	8.000000	
739	4	0	563	578	0.000000	8.000000	
740	4	0	579	566	0.000000	8.000000	
741	4	0	556	566	0.000000	8.000000	
742	4	0	556	566	0.000000	5.000000	
747	4	0	576	530	0.000000	8.000000	
749	4	0	579	530	0.000000	5.000000	
750	4	0	535	553	0.000000	8.000000	
751	4	0	562	553	0.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
753	5	1	620	622	1.000000	8.000000	
754	5	1	596	622	1.000000	5.000000	
755	5	1	595	622	1.000000	8.000000	
758	5	1	623	627	1.000000	5.000000	
759	5	1	602	627	1.000000	5.000000	
763	5	1	591	610	1.000000	5.000000	
764	5	1	606	610	1.000000	8.000000	
765	5	1	623	639	1.000000	5.000000	
766	5	1	600	616	1.000000	8.000000	
767	5	1	619	616	1.000000	8.000000	
771	5	1	604	593	1.000000	8.000000	
