id	pop	sex	FatherId	MotherId	Sex	incomp	
3090	3	1	2957	2972	1.000000	8.000000	
3091	3	1	2942	2940	1.000000	8.000000	
3092	3	1	2977	2940	1.000000	8.000000	
3093	3	1	2987	2965	1.000000	8.000000	
3094	3	1	2945	2976	1.000000	8.000000	
3095	3	1	2939	2976	1.000000	8.000000	
3096	3	1	2938	2976	1.000000	8.000000	
3099	3	1	2955	2980	1.000000	8.000000	
3100	3	1	2974	2980	1.000000	8.000000	
3101	3	1	2945	2958	1.000000	8.000000	
3102	3	1	2978	2958	1.000000	8.000000	
3103	3	1	2978	2958	1.000000	8.000000	
3105	3	1	2968	2984	1.000000	8.000000	
3107	3	1	2955	2953	1.000000	8.000000	
3109	3	1	2963	2954	1.000000	8.000000	
3111	3	1	2955	2954	1.000000	8.000000	
3112	3	1	2957	2981	1.000000	8.000000	
3113	3	1	2987	2981	1.000000	8.000000	
3114	3	1	2955	2988	1.000000	8.000000	
3116	3	1	2956	2988	1.000000	8.000000	
3122	3	1	2961	2986	1.000000	5.000000	
3124	3	1	2947	2982	1.000000	8.000000	
3127	3	1	2961	2982	1.000000	5.000000	
3128	3	1	2941	2985	1.000000	8.000000	
3132	3	1	2939	2976	1.000000	8.000000	
3133	3	1	2959	2981	1.000000	8.000000	
3135	3	1	2939	2980	1.000000	8.000000	
3137	3	1	2955	2962	1.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
3089	3	0	2948	2972	0.000000	8.000000	
3097	3	0	2978	2964	0.000000	8.000000	
3098	3	0	2963	2964	0.000000	8.000000	
3104	3	0	2945	2962	0.000000	8.000000	
3106	3	0	2941	2984	0.000000	8.000000	
3108	3	0	2945	2953	0.000000	8.000000	
3110	3	0	2939	2954	0.000000	8.000000	
3115	3	0	2943	2988	0.000000	8.000000	
3117	3	0	2959	2951	0.000000	8.000000	
3118	3	0	2945	2979	0.000000	8.000000	
3119	3	0	2968	2973	0.000000	8.000000	
3120	3	0	2938	2975	0.000000	8.000000	
3121	3	0	2938	2967	0.000000	5.000000	
3123	3	0	2945	2986	0.000000	8.000000	
3125	3	0	2987	2982	0.000000	8.000000	
3126	3	0	2941	2982	0.000000	8.000000	
3129	3	0	2963	2949	0.000000	8.000000	
3130	3	0	2942	2983	0.000000	8.000000	
3131	3	0	2955	2988	0.000000	8.000000	
3134	3	0	2945	2980	0.000000	8.000000	
3136	3	0	2987	2962	0.000000	8.000000	
3138	3	0	2961	2949	0.000000	5.000000	
