id	pop	sex	FatherId	MotherId	Sex	incomp	
805	3	1	676	686	1.000000	5.000000	
809	3	1	650	671	1.000000	8.000000	
811	3	1	684	669	1.000000	5.000000	
814	3	1	653	681	1.000000	8.000000	
816	3	1	668	656	1.000000	8.000000	
817	3	1	664	656	1.000000	8.000000	
818	3	1	673	656	1.000000	8.000000	
821	3	1	668	655	1.000000	5.000000	
822	3	1	685	655	1.000000	5.000000	
824	3	1	683	652	1.000000	8.000000	
826	3	1	679	647	1.000000	8.000000	
829	3	1	670	694	1.000000	8.000000	
831	3	1	683	691	1.000000	8.000000	
832	3	1	661	654	1.000000	5.000000	
834	3	1	664	660	1.000000	5.000000	
837	3	1	661	689	1.000000	8.000000	
840	3	1	661	677	1.000000	5.000000	
841	3	1	661	677	1.000000	5.000000	
842	3	1	666	695	1.000000	8.000000	
844	3	1	680	671	1.000000	8.000000	
845	3	1	670	657	1.000000	8.000000	
847	3	1	663	681	1.000000	5.000000	
848	3	1	666	681	1.000000	5.000000	
849	3	1	672	669	1.000000	5.000000	
850	3	1	680	649	1.000000	8.000000	
852	3	1	658	693	1.000000	5.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
803	3	0	644	662	0.000000	8.000000	
804	3	0	688	693	0.000000	8.000000	
806	3	0	684	686	0.000000	2.000000	
807	3	0	679	671	0.000000	8.000000	
808	3	0	684	671	0.000000	8.000000	
810	3	0	676	669	0.000000	8.000000	
812	3	0	648	669	0.000000	5.000000	
813	3	0	666	681	0.000000	8.000000	
815	3	0	683	681	0.000000	8.000000	
819	3	0	650	692	0.000000	8.000000	
820	3	0	676	655	0.000000	5.000000	
823	3	0	653	652	0.000000	8.000000	
825	3	0	648	657	0.000000	8.000000	
827	3	0	680	659	0.000000	8.000000	
828	3	0	668	659	0.000000	5.000000	
830	3	0	670	691	0.000000	8.000000	
833	3	0	676	675	0.000000	8.000000	
835	3	0	676	689	0.000000	8.000000	
836	3	0	670	689	0.000000	8.000000	
838	3	0	680	689	0.000000	8.000000	
839	3	0	644	690	0.000000	8.000000	
